celex,subject,country,case_label,ecli,judge,advocate,chamber,lodge_date,document_date,year_document,year_lodge,is_join_case,ruling_title,ruling_name,ruling_type
62010CJ0456,Quantitative restrictions,Spain,Case C-456/10,EU:C:2012:241,MalenovskÃ½,Kokott,Spain-Third Chamber,2010-09-17,2012-04-26,2012,2010.0,0,Judgment of the Court (Third Chamber); 26 April 2012.,Asociación Nacional de Expendedores de Tabaco y Timbre (ANETT) v Administración del Estado.,Reference for a preliminary ruling from the Tribunal Supremo.
62010CJ0457,Competition,Sweden,Case Câ457/10 P,EU:C:2012:770,IleÅ¡iÄ,MazÃ¡k,Sweden; United Kingdom-First Chamber,2010-09-15,2012-12-06,2012,2010.0,0,Judgment of the Court (First Chamber); 6 December 2012.,AstraZeneca AB and AstraZeneca plc v European Commission.,not_specified
62010CJ0457,Competition,United Kingdom,Case Câ457/10 P,EU:C:2012:770,IleÅ¡iÄ,MazÃ¡k,Sweden; United Kingdom-First Chamber,2010-09-15,2012-12-06,2012,2010.0,0,Judgment of the Court (First Chamber); 6 December 2012.,AstraZeneca AB and AstraZeneca plc v European Commission.,not_specified
62010CJ0458,Environment,Luxembourg,  Case C-458/10,EU:C:2011:385,JaraÅ¡iÅ«nas,Mengozzi,Luxembourg-Eighth Chamber,2010-09-17,2011-06-09,2011,2010.0,0,Judgment of the Court (Eighth Chamber) of 9 June 2011. , European Commission v Grand Duchy of Luxemburg. ,not_specified
62010CJ0458,Pollution,Luxembourg,  Case C-458/10,EU:C:2011:385,JaraÅ¡iÅ«nas,Mengozzi,Luxembourg-Eighth Chamber,2010-09-17,2011-06-09,2011,2010.0,0,Judgment of the Court (Eighth Chamber) of 9 June 2011. , European Commission v Grand Duchy of Luxemburg. ,not_specified
62010CJ0459,Competition,Germany,  Case C-459/10 P,EU:C:2011:515,Arabadjiev,Mengozzi,Germany-Sixth Chamber,2010-09-16,2011-07-21,2011,2010.0,0,Judgment of the Court (Sixth Chamber) of 21 July 2011. , Freistaat Sachsen and Land Sachsen-Anhalt v European Commission. ,not_specified
62010CJ0459,State aids,Germany,  Case C-459/10 P,EU:C:2011:515,Arabadjiev,Mengozzi,Germany-Sixth Chamber,2010-09-16,2011-07-21,2011,2010.0,0,Judgment of the Court (Sixth Chamber) of 21 July 2011. , Freistaat Sachsen and Land Sachsen-Anhalt v European Commission. ,not_specified
62010CJ0461,Approximation of laws,Sweden,Case Câ461/10,EU:C:2012:219,MalenovskÃ½,JÃ¤Ã¤skinen,Sweden-Third Chamber,2010-09-20,2012-04-19,2012,2010.0,0,Judgment of the Court (Third Chamber); 19 April 2012.,Bonnier Audio AB and Others v Perfect Communication Sweden AB.,Reference for a preliminary ruling from the Högsta domstolen.
62010CJ0461,Copyright and related rights,Sweden,Case Câ461/10,EU:C:2012:219,MalenovskÃ½,JÃ¤Ã¤skinen,Sweden-Third Chamber,2010-09-20,2012-04-19,2012,2010.0,0,Judgment of the Court (Third Chamber); 19 April 2012.,Bonnier Audio AB and Others v Perfect Communication Sweden AB.,Reference for a preliminary ruling from the Högsta domstolen.
62010CJ0461,Intellectual; industrial and commercial property,Sweden,Case Câ461/10,EU:C:2012:219,MalenovskÃ½,JÃ¤Ã¤skinen,Sweden-Third Chamber,2010-09-20,2012-04-19,2012,2010.0,0,Judgment of the Court (Third Chamber); 19 April 2012.,Bonnier Audio AB and Others v Perfect Communication Sweden AB.,Reference for a preliminary ruling from the Högsta domstolen.
